STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max,Latitude,Longitude
4022,BEACH,GOA,26.0,31.0,5.2,7.5,7.0,8.3,30440.0,62050.0,1.0,2.0,0.3,3.6,8.0,1400.0,23.0,2200.0,7.0,130.0,15.354661,73.883923
5652,BEACH,GOA,28.0,31.0,5.1,6.6,7.8,8.7,46950.0,60310.0,1.0,2.5,0.3,1.0,79.0,790.0,130.0,1400.0,33.0,540.0,,
5653,BEACH,GOA,28.0,31.0,6.1,6.8,7.6,8.8,37260.0,60770.0,1.0,2.1,0.3,0.4,17.0,220.0,33.0,280.0,11.0,94.0,,
5648,BEACH,GOA,26.0,30.0,5.8,7.2,7.6,8.5,45780.0,56280.0,1.0,2.0,0.3,0.3,33.0,240.0,140.0,540.0,17.0,350.0,,
5650,BEACH,GOA,27.0,31.0,6.0,7.2,7.8,8.5,45660.0,55840.0,1.0,1.9,0.3,0.3,2.0,350.0,23.0,540.0,2.0,170.0,,
5277,CREEK,GOA,26.0,31.0,2.6,7.5,6.7,9.2,244.0,25740.0,1.8,3.9,0.3,0.3,110.0,24000.0,140.0,54000.0,110.0,2400.0,,
5278,CREEK,GOA,27.0,29.0,3.6,5.9,5.5,6.9,187.0,13800.0,1.0,8.3,0.3,1.1,2300.0,17000.0,3300.0,35000.0,790.0,1700.0,,
5279,CREEK,GOA,27.0,32.0,0.6,7.5,6.3,7.6,263.0,20180.0,1.0,8.4,0.3,6.6,1700.0,220000.0,2200.0,540000.0,230.0,35000.0,,
2267,CREEK,GOA,27.0,31.0,4.3,7.1,6.8,8.4,631.0,60230.0,1.0,1.9,0.3,7.2,110.0,7900.0,220.0,24000.0,49.0,5400.0,15.354489,73.883148
2081,CREEK,GUJARAT,24.0,35.0,0.3,5.0,7.3,8.4,510.0,2140.0,3.1,20.0,0.3,0.5,110.0,1600.0,540.0,1600.0,,,21.615413,72.941847
