STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FecalStreptococci_Min,FecalStreptococci_Max
2799,CREEK,MAHARASHTRA,26,27,2.6,5.8,7.1,8.1,21800,60000,8,16,0.72,13.02,22,140,170,350,-,-
2800,CREEK,MAHARASHTRA,26,27,3.9,7.2,7,8.1,216,54800,3,11,0.3,39.5,33,110,210,350,-,-
2801,CREEK,MAHARASHTRA,26,27,0.3,7,7,8.2,253,60940,2.8,44,0.3,2.57,23,110,170,350,-,-
2802,CREEK,MAHARASHTRA,26,27,0.3,7,7,8,231,61360,4,56,0.3,3.83,17,110,140,350,-,-
2803,CREEK,MAHARASHTRA,26,30,3.8,7.5,7,7.8,122,38890,3.6,12,0.3,20.2,22,94,170,350,-,-
2804,CREEK,MAHARASHTRA,27,33,5.6,7.1,6.7,7.8,96,13720,1.7,2.2,0.31,2.3,4,17,12,58,2,2
2805,SEA,MAHARASHTRA,20,34,3.5,6,7.6,8,11120,57150,9,14,0.38,7.38,49,350,240,920,-,-
2806,SEA,MAHARASHTRA,20,34,3.6,6.3,6.8,8,1925,55820,4,13,0.69,1.61,44,540,220,920,-,-
2807,SEA,MAHARASHTRA,26,27,0.3,6,6.5,8,21810,60030,8,180,1.46,26.2,23,140,110,540,-,-
2808,SEA,MAHARASHTRA,25,26,2.1,6,7,8,21980,57950,8,14,0.57,6.59,220,920,540,1600,-,-
2809,SEA,MAHARASHTRA,25,26,2.4,5.3,7.1,8,24110,57650,9,14,0.63,5.74,94,920,540,920,-,-
2810,SEA,MAHARASHTRA,25,26,1.7,5.8,7.1,8.1,27820,57750,9,14,0.61,9.52,350,920,540,1600,-,-
2811,SEA,MAHARASHTRA,25,26,2.4,5.7,6.5,7.6,23460,57730,8,13,0.6,6.77,240,920,540,1600,-,-
2812,SEA,MAHARASHTRA,25,26,2.4,5.8,7.3,8.2,44480,55700,7,14,0.44,5.59,220,1600,920,1600,-,-
2813,SEA,MAHARASHTRA,22,32,5.4,6.5,7.3,8.1,43580,56360,2,3,0.3,2.53,24,47,120,170,-,-
2814,SEA,MAHARASHTRA,21,31,4.8,6.5,7.2,8.3,44210,55660,2.2,3,0.3,2.76,27,58,110,170,-,-
2815,SEA,MAHARASHTRA,21,30,5.4,7,7.8,8.2,31120,55910,2,2.8,0.3,2.66,25,46,110,170,-,-
4938,MARINE,ODISHA,29,29,7.1,7.1,8.2,8.2,-,-,1,1,-,-,9,9,-,-,-,-
