STATION CODE,WATER_BODY_TYPE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,DO_Min,DO_MAX,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max
2796,CREEK,MAHARASHTRA,26,32,3.3,6,6.9,8,382,46760,4,18,1.7,6.7,21,920,110,1600
2797,CREEK,MAHARASHTRA,26,30,3.1,5.5,6.9,8,808,59840,7,17,1.5,6.6,22,240,170,1600
2799,CREEK,MAHARASHTRA,25,30,BDL,5.3,7,7.9,5303,67820,7,62,1.5,3.9,21,540,110,1600
2800,CREEK,MAHARASHTRA,23,30,3.4,6,7.2,8.3,179,65050,4,15,0.8,7.7,22,350,130,1600
2801,CREEK,MAHARASHTRA,22,31,3.6,6.5,6.9,8,491,65180,3.5,20,0.3,4.3,21,350,94,1600
2802,CREEK,MAHARASHTRA,22,32,3.2,5.7,7.1,7.9,3682,65260,6,20,0.6,6,7.8,110,26,1600
2803,CREEK,MAHARASHTRA,28,30,3,6.9,6.4,8.2,182,54070,3,18,0.1,7.9,17,170,70,920
2804,CREEK,MAHARASHTRA,23,28,6,7.2,6.6,7.8,93,17220,1.8,2.8,0.17,2.46,4,26,31,220
1317,CREEK,MAHARASHTRA,25,33,3.2,5.3,6.6,7.8,28890,63290,7,20,0.6,5.3,22,1600,170,1600
1318,CREEK,MAHARASHTRA,26,32,3.8,5.3,6.8,7.7,725.5,62420,7,54,0.3,7.2,21,1600,130,1600
2165,SEA,MAHARASHTRA,26,33,3.5,5.2,6.6,7.8,37640,62360,9,20,0.6,7.2,79,1600,540,1600
2166,SEA,MAHARASHTRA,26,33,3.3,4.9,6.9,8.2,35190,62880,11,18,0.7,7.2,23,1600,220,1600
2167,SEA,MAHARASHTRA,26,32,3,5.1,6.7,8,35020,63010,8.5,20,1,14.2,22,1600,240,1600
2169,SEA,MAHARASHTRA,25,31,BDL,4.9,7,8,19920,64000,10,120,1.1,5,79,1600,430,1600
2804,SEA,MAHARASHTRA,25,30,1.9,5.3,6.3,8.1,7280,67780,7,30,1.3,4.4,21,350,170,1600
2805,SEA,MAHARASHTRA,26,30,3.1,5.2,7.2,8.1,795,62110,7,22,1.3,5.5,27,1600,220,1600
2806,SEA,MAHARASHTRA,26,32,3,5.3,6.9,8,812,62290,8,22,1.3,4.5,4,1600,31,1600
2807,SEA,MAHARASHTRA,24,30,BDL,5.5,6.9,8.6,8036,67980,6,110,1.4,4,23,540,130,1600
2808,SEA,MAHARASHTRA,25,33,3.1,5.5,6.9,7.9,35550,63090,7,20,0.2,7.3,70,1600,350,1600
2809,SEA,MAHARASHTRA,26,33,3,5.3,6.5,8.1,947,62960,8,20,0.3,6.9,63,1600,540,1600
2810,SEA,MAHARASHTRA,26,33,2.9,5,6.8,7.9,35090,63120,9,20,0.7,7.2,110,1600,540,1600
2811,SEA,MAHARASHTRA,25,32,3.4,5.5,6.9,7.7,417,63110,7,20,0.3,7.8,33,920,430,1600
2812,SEA,MAHARASHTRA,25,31,3.1,5.6,6.7,8.1,35140,64480,8,20,0.6,5.1,48,1600,350,1600
2813,SEA,MAHARASHTRA,22,28,5.4,6.5,6.5,8,22420,54590,2.2,4.2,1.14,4.13,20,94,140,920
2814,SEA,MAHARASHTRA,23,27,5,6.8,6.8,8,33860,51960,2.2,4.2,0.98,3.14,17,49,120,350
